task_idx,task_id,recipient_condition,donor_type,donor_condition,common_suffix_tokens
3,task_003,canonical_test,opposite_cross_wording,paraphrase_impl,69
3,task_003,canonical_test,self,canonical_test,270
3,task_003,canonical_impl,opposite_same_wording,canonical_test,103
3,task_003,canonical_impl,same_state_cross_wording,paraphrase_impl,69
3,task_003,canonical_impl,opposite_cross_wording,paraphrase_test,69
3,task_003,canonical_impl,self,canonical_impl,270
3,task_003,paraphrase_test,opposite_same_wording,paraphrase_impl,96
3,task_003,paraphrase_test,same_state_cross_wording,canonical_test,69
3,task_003,paraphrase_test,opposite_cross_wording,canonical_impl,69
3,task_003,paraphrase_test,self,paraphrase_test,254
3,task_003,paraphrase_impl,opposite_same_wording,paraphrase_test,96
3,task_003,paraphrase_impl,same_state_cross_wording,canonical_impl,69
3,task_003,paraphrase_impl,opposite_cross_wording,canonical_test,69
3,task_003,paraphrase_impl,self,paraphrase_impl,254
4,task_004,canonical_test,opposite_same_wording,canonical_impl,121
4,task_004,canonical_test,same_state_cross_wording,paraphrase_test,87
4,task_004,canonical_test,opposite_cross_wording,paraphrase_impl,87
4,task_004,canonical_test,self,canonical_test,286
4,task_004,canonical_impl,opposite_same_wording,canonical_test,121
4,task_004,canonical_impl,same_state_cross_wording,paraphrase_impl,87
4,task_004,canonical_impl,opposite_cross_wording,paraphrase_test,87
4,task_004,canonical_impl,self,canonical_impl,286
4,task_004,paraphrase_test,opposite_same_wording,paraphrase_impl,114
4,task_004,paraphrase_test,same_state_cross_wording,canonical_test,87
4,task_004,paraphrase_test,opposite_cross_wording,canonical_impl,87
4,task_004,paraphrase_test,self,paraphrase_test,270
4,task_004,paraphrase_impl,opposite_same_wording,paraphrase_test,114
4,task_004,paraphrase_impl,same_state_cross_wording,canonical_impl,87
4,task_004,paraphrase_impl,opposite_cross_wording,canonical_test,87
4,task_004,paraphrase_impl,self,paraphrase_impl,270
5,task_005,canonical_test,opposite_same_wording,canonical_impl,120
5,task_005,canonical_test,same_state_cross_wording,paraphrase_test,86
5,task_005,canonical_test,opposite_cross_wording,paraphrase_impl,86
5,task_005,canonical_test,self,canonical_test,288
5,task_005,canonical_impl,opposite_same_wording,canonical_test,120
5,task_005,canonical_impl,same_state_cross_wording,paraphrase_impl,86
5,task_005,canonical_impl,opposite_cross_wording,paraphrase_test,86
5,task_005,canonical_impl,self,canonical_impl,288
5,task_005,paraphrase_test,opposite_same_wording,paraphrase_impl,113
5,task_005,paraphrase_test,same_state_cross_wording,canonical_test,86
5,task_005,paraphrase_test,opposite_cross_wording,canonical_impl,86
5,task_005,paraphrase_test,self,paraphrase_test,272
5,task_005,paraphrase_impl,opposite_same_wording,paraphrase_test,113
5,task_005,paraphrase_impl,same_state_cross_wording,canonical_impl,86
5,task_005,paraphrase_impl,opposite_cross_wording,canonical_test,86
5,task_005,paraphrase_impl,self,paraphrase_impl,272
6,task_006,canonical_test,opposite_same_wording,canonical_impl,103
6,task_006,canonical_test,same_state_cross_wording,paraphrase_test,69
6,task_006,canonical_test,opposite_cross_wording,paraphrase_impl,69
6,task_006,canonical_test,self,canonical_test,269
6,task_006,canonical_impl,opposite_same_wording,canonical_test,103
6,task_006,canonical_impl,same_state_cross_wording,paraphrase_impl,69
6,task_006,canonical_impl,opposite_cross_wording,paraphrase_test,69
6,task_006,canonical_impl,self,canonical_impl,269
6,task_006,paraphrase_test,opposite_same_wording,paraphrase_impl,96
6,task_006,paraphrase_test,same_state_cross_wording,canonical_test,69
6,task_006,paraphrase_test,opposite_cross_wording,canonical_impl,69
6,task_006,paraphrase_test,self,paraphrase_test,253
6,task_006,paraphrase_impl,opposite_same_wording,paraphrase_test,96
6,task_006,paraphrase_impl,same_state_cross_wording,canonical_impl,69
6,task_006,paraphrase_impl,opposite_cross_wording,canonical_test,69
6,task_006,paraphrase_impl,self,paraphrase_impl,253
7,task_007,canonical_test,opposite_same_wording,canonical_impl,121
7,task_007,canonical_test,same_state_cross_wording,paraphrase_test,87
7,task_007,canonical_test,opposite_cross_wording,paraphrase_impl,87
7,task_007,canonical_test,self,canonical_test,287
7,task_007,canonical_impl,opposite_same_wording,canonical_test,121
7,task_007,canonical_impl,same_state_cross_wording,paraphrase_impl,87
7,task_007,canonical_impl,opposite_cross_wording,paraphrase_test,87
7,task_007,canonical_impl,self,canonical_impl,287
7,task_007,paraphrase_test,opposite_same_wording,paraphrase_impl,114
7,task_007,paraphrase_test,same_state_cross_wording,canonical_test,87
7,task_007,paraphrase_test,opposite_cross_wording,canonical_impl,87
7,task_007,paraphrase_test,self,paraphrase_test,271
7,task_007,paraphrase_impl,opposite_same_wording,paraphrase_test,114
7,task_007,paraphrase_impl,same_state_cross_wording,canonical_impl,87
7,task_007,paraphrase_impl,opposite_cross_wording,canonical_test,87
7,task_007,paraphrase_impl,self,paraphrase_impl,271
8,task_008,canonical_test,opposite_same_wording,canonical_impl,120
8,task_008,canonical_test,same_state_cross_wording,paraphrase_test,86
8,task_008,canonical_test,opposite_cross_wording,paraphrase_impl,86
8,task_008,canonical_test,self,canonical_test,283
8,task_008,canonical_impl,opposite_same_wording,canonical_test,120
8,task_008,canonical_impl,same_state_cross_wording,paraphrase_impl,86
8,task_008,canonical_impl,opposite_cross_wording,paraphrase_test,86
8,task_008,canonical_impl,self,canonical_impl,283
8,task_008,paraphrase_test,opposite_same_wording,paraphrase_impl,113
8,task_008,paraphrase_test,same_state_cross_wording,canonical_test,86
8,task_008,paraphrase_test,opposite_cross_wording,canonical_impl,86
8,task_008,paraphrase_test,self,paraphrase_test,267
8,task_008,paraphrase_impl,opposite_same_wording,paraphrase_test,113
8,task_008,paraphrase_impl,same_state_cross_wording,canonical_impl,86
8,task_008,paraphrase_impl,opposite_cross_wording,canonical_test,86
8,task_008,paraphrase_impl,self,paraphrase_impl,267
9,task_009,canonical_test,opposite_same_wording,canonical_impl,103
9,task_009,canonical_test,same_state_cross_wording,paraphrase_test,69
9,task_009,canonical_test,opposite_cross_wording,paraphrase_impl,69
9,task_009,canonical_test,self,canonical_test,267
9,task_009,canonical_impl,opposite_same_wording,canonical_test,103
9,task_009,canonical_impl,same_state_cross_wording,paraphrase_impl,69
9,task_009,canonical_impl,opposite_cross_wording,paraphrase_test,69
9,task_009,canonical_impl,self,canonical_impl,267
9,task_009,paraphrase_test,opposite_same_wording,paraphrase_impl,96
9,task_009,paraphrase_test,same_state_cross_wording,canonical_test,69
9,task_009,paraphrase_test,opposite_cross_wording,canonical_impl,69
9,task_009,paraphrase_test,self,paraphrase_test,251
9,task_009,paraphrase_impl,opposite_same_wording,paraphrase_test,96
9,task_009,paraphrase_impl,same_state_cross_wording,canonical_impl,69
9,task_009,paraphrase_impl,opposite_cross_wording,canonical_test,69
9,task_009,paraphrase_impl,self,paraphrase_impl,251
10,task_010,canonical_test,opposite_same_wording,canonical_impl,121
10,task_010,canonical_test,same_state_cross_wording,paraphrase_test,87
10,task_010,canonical_test,opposite_cross_wording,paraphrase_impl,87
10,task_010,canonical_test,self,canonical_test,285
10,task_010,canonical_impl,opposite_same_wording,canonical_test,121
10,task_010,canonical_impl,same_state_cross_wording,paraphrase_impl,87
10,task_010,canonical_impl,opposite_cross_wording,paraphrase_test,87
10,task_010,canonical_impl,self,canonical_impl,285
10,task_010,paraphrase_test,opposite_same_wording,paraphrase_impl,114
10,task_010,paraphrase_test,same_state_cross_wording,canonical_test,87
10,task_010,paraphrase_test,opposite_cross_wording,canonical_impl,87
10,task_010,paraphrase_test,self,paraphrase_test,269
10,task_010,paraphrase_impl,opposite_same_wording,paraphrase_test,114
10,task_010,paraphrase_impl,same_state_cross_wording,canonical_impl,87
10,task_010,paraphrase_impl,opposite_cross_wording,canonical_test,87
10,task_010,paraphrase_impl,self,paraphrase_impl,269
11,task_011,canonical_test,opposite_same_wording,canonical_impl,120
11,task_011,canonical_test,same_state_cross_wording,paraphrase_test,86
11,task_011,canonical_test,opposite_cross_wording,paraphrase_impl,86
11,task_011,canonical_test,self,canonical_test,284
11,task_011,canonical_impl,opposite_same_wording,canonical_test,120
11,task_011,canonical_impl,same_state_cross_wording,paraphrase_impl,86
11,task_011,canonical_impl,opposite_cross_wording,paraphrase_test,86
11,task_011,canonical_impl,self,canonical_impl,284
11,task_011,paraphrase_test,opposite_same_wording,paraphrase_impl,113
11,task_011,paraphrase_test,same_state_cross_wording,canonical_test,86
11,task_011,paraphrase_test,opposite_cross_wording,canonical_impl,86
11,task_011,paraphrase_test,self,paraphrase_test,268
11,task_011,paraphrase_impl,opposite_same_wording,paraphrase_test,113
11,task_011,paraphrase_impl,same_state_cross_wording,canonical_impl,86
11,task_011,paraphrase_impl,opposite_cross_wording,canonical_test,86
11,task_011,paraphrase_impl,self,paraphrase_impl,268
12,task_012,canonical_test,opposite_same_wording,canonical_impl,103
12,task_012,canonical_test,same_state_cross_wording,paraphrase_test,69
12,task_012,canonical_test,opposite_cross_wording,paraphrase_impl,69
12,task_012,canonical_test,self,canonical_test,268
12,task_012,canonical_impl,opposite_same_wording,canonical_test,103
12,task_012,canonical_impl,same_state_cross_wording,paraphrase_impl,69
12,task_012,canonical_impl,opposite_cross_wording,paraphrase_test,69
12,task_012,canonical_impl,self,canonical_impl,268
12,task_012,paraphrase_test,opposite_same_wording,paraphrase_impl,96
12,task_012,paraphrase_test,same_state_cross_wording,canonical_test,69
12,task_012,paraphrase_test,opposite_cross_wording,canonical_impl,69
12,task_012,paraphrase_test,self,paraphrase_test,252
12,task_012,paraphrase_impl,opposite_same_wording,paraphrase_test,96
12,task_012,paraphrase_impl,same_state_cross_wording,canonical_impl,69
12,task_012,paraphrase_impl,opposite_cross_wording,canonical_test,69
12,task_012,paraphrase_impl,self,paraphrase_impl,252
13,task_013,canonical_test,opposite_same_wording,canonical_impl,121
13,task_013,canonical_test,same_state_cross_wording,paraphrase_test,87
13,task_013,canonical_test,opposite_cross_wording,paraphrase_impl,87
13,task_013,canonical_test,self,canonical_test,290
13,task_013,canonical_impl,opposite_same_wording,canonical_test,121
13,task_013,canonical_impl,same_state_cross_wording,paraphrase_impl,87
13,task_013,canonical_impl,opposite_cross_wording,paraphrase_test,87
13,task_013,canonical_impl,self,canonical_impl,290
13,task_013,paraphrase_test,opposite_same_wording,paraphrase_impl,114
13,task_013,paraphrase_test,same_state_cross_wording,canonical_test,87
13,task_013,paraphrase_test,opposite_cross_wording,canonical_impl,87
13,task_013,paraphrase_test,self,paraphrase_test,274
13,task_013,paraphrase_impl,opposite_same_wording,paraphrase_test,114
13,task_013,paraphrase_impl,same_state_cross_wording,canonical_impl,87
13,task_013,paraphrase_impl,opposite_cross_wording,canonical_test,87
13,task_013,paraphrase_impl,self,paraphrase_impl,274
14,task_014,canonical_test,opposite_same_wording,canonical_impl,120
14,task_014,canonical_test,same_state_cross_wording,paraphrase_test,86
14,task_014,canonical_test,opposite_cross_wording,paraphrase_impl,86
14,task_014,canonical_test,self,canonical_test,287
14,task_014,canonical_impl,opposite_same_wording,canonical_test,120
14,task_014,canonical_impl,same_state_cross_wording,paraphrase_impl,86
14,task_014,canonical_impl,opposite_cross_wording,paraphrase_test,86
14,task_014,canonical_impl,self,canonical_impl,287
14,task_014,paraphrase_test,opposite_same_wording,paraphrase_impl,113
14,task_014,paraphrase_test,same_state_cross_wording,canonical_test,86
14,task_014,paraphrase_test,opposite_cross_wording,canonical_impl,86
14,task_014,paraphrase_test,self,paraphrase_test,271
14,task_014,paraphrase_impl,opposite_same_wording,paraphrase_test,113
14,task_014,paraphrase_impl,same_state_cross_wording,canonical_impl,86
14,task_014,paraphrase_impl,opposite_cross_wording,canonical_test,86
14,task_014,paraphrase_impl,self,paraphrase_impl,271
15,task_015,canonical_test,opposite_same_wording,canonical_impl,103
15,task_015,canonical_test,same_state_cross_wording,paraphrase_test,69
15,task_015,canonical_test,opposite_cross_wording,paraphrase_impl,69
15,task_015,canonical_test,self,canonical_test,269
15,task_015,canonical_impl,opposite_same_wording,canonical_test,103
15,task_015,canonical_impl,same_state_cross_wording,paraphrase_impl,69
15,task_015,canonical_impl,opposite_cross_wording,paraphrase_test,69
15,task_015,canonical_impl,self,canonical_impl,269
15,task_015,paraphrase_test,opposite_same_wording,paraphrase_impl,96
15,task_015,paraphrase_test,same_state_cross_wording,canonical_test,69
15,task_015,paraphrase_test,opposite_cross_wording,canonical_impl,69
15,task_015,paraphrase_test,self,paraphrase_test,253
15,task_015,paraphrase_impl,opposite_same_wording,paraphrase_test,96
15,task_015,paraphrase_impl,same_state_cross_wording,canonical_impl,69
15,task_015,paraphrase_impl,opposite_cross_wording,canonical_test,69
15,task_015,paraphrase_impl,self,paraphrase_impl,253
16,task_016,canonical_test,opposite_same_wording,canonical_impl,121
16,task_016,canonical_test,same_state_cross_wording,paraphrase_test,87
16,task_016,canonical_test,opposite_cross_wording,paraphrase_impl,87
16,task_016,canonical_test,self,canonical_test,285
16,task_016,canonical_impl,opposite_same_wording,canonical_test,121
16,task_016,canonical_impl,same_state_cross_wording,paraphrase_impl,87
16,task_016,canonical_impl,opposite_cross_wording,paraphrase_test,87
16,task_016,canonical_impl,self,canonical_impl,285
16,task_016,paraphrase_test,opposite_same_wording,paraphrase_impl,114
16,task_016,paraphrase_test,same_state_cross_wording,canonical_test,87
16,task_016,paraphrase_test,opposite_cross_wording,canonical_impl,87
16,task_016,paraphrase_test,self,paraphrase_test,269
16,task_016,paraphrase_impl,opposite_same_wording,paraphrase_test,114
16,task_016,paraphrase_impl,same_state_cross_wording,canonical_impl,87
16,task_016,paraphrase_impl,opposite_cross_wording,canonical_test,87
16,task_016,paraphrase_impl,self,paraphrase_impl,269
17,task_017,canonical_test,opposite_same_wording,canonical_impl,120
17,task_017,canonical_test,same_state_cross_wording,paraphrase_test,86
17,task_017,canonical_test,opposite_cross_wording,paraphrase_impl,86
17,task_017,canonical_test,self,canonical_test,284
17,task_017,canonical_impl,opposite_same_wording,canonical_test,120
17,task_017,canonical_impl,same_state_cross_wording,paraphrase_impl,86
17,task_017,canonical_impl,opposite_cross_wording,paraphrase_test,86
17,task_017,canonical_impl,self,canonical_impl,284
17,task_017,paraphrase_test,opposite_same_wording,paraphrase_impl,113
17,task_017,paraphrase_test,same_state_cross_wording,canonical_test,86
17,task_017,paraphrase_test,opposite_cross_wording,canonical_impl,86
17,task_017,paraphrase_test,self,paraphrase_test,268
17,task_017,paraphrase_impl,opposite_same_wording,paraphrase_test,113
17,task_017,paraphrase_impl,same_state_cross_wording,canonical_impl,86
17,task_017,paraphrase_impl,opposite_cross_wording,canonical_test,86
17,task_017,paraphrase_impl,self,paraphrase_impl,268
18,task_018,canonical_test,opposite_same_wording,canonical_impl,103
18,task_018,canonical_test,same_state_cross_wording,paraphrase_test,69
18,task_018,canonical_test,opposite_cross_wording,paraphrase_impl,69
18,task_018,canonical_test,self,canonical_test,265
18,task_018,canonical_impl,opposite_same_wording,canonical_test,103
18,task_018,canonical_impl,same_state_cross_wording,paraphrase_impl,69
18,task_018,canonical_impl,opposite_cross_wording,paraphrase_test,69
18,task_018,canonical_impl,self,canonical_impl,265
18,task_018,paraphrase_test,opposite_same_wording,paraphrase_impl,96
18,task_018,paraphrase_test,same_state_cross_wording,canonical_test,69
18,task_018,paraphrase_test,opposite_cross_wording,canonical_impl,69
18,task_018,paraphrase_test,self,paraphrase_test,249
18,task_018,paraphrase_impl,opposite_same_wording,paraphrase_test,96
18,task_018,paraphrase_impl,same_state_cross_wording,canonical_impl,69
18,task_018,paraphrase_impl,opposite_cross_wording,canonical_test,69
18,task_018,paraphrase_impl,self,paraphrase_impl,249
19,task_019,canonical_test,opposite_same_wording,canonical_impl,121
19,task_019,canonical_test,same_state_cross_wording,paraphrase_test,87
19,task_019,canonical_test,opposite_cross_wording,paraphrase_impl,87
19,task_019,canonical_test,self,canonical_test,285
19,task_019,canonical_impl,opposite_same_wording,canonical_test,121
19,task_019,canonical_impl,same_state_cross_wording,paraphrase_impl,87
19,task_019,canonical_impl,opposite_cross_wording,paraphrase_test,87
19,task_019,canonical_impl,self,canonical_impl,285
19,task_019,paraphrase_test,opposite_same_wording,paraphrase_impl,114
19,task_019,paraphrase_test,same_state_cross_wording,canonical_test,87
19,task_019,paraphrase_test,opposite_cross_wording,canonical_impl,87
19,task_019,paraphrase_test,self,paraphrase_test,269
19,task_019,paraphrase_impl,opposite_same_wording,paraphrase_test,114
19,task_019,paraphrase_impl,same_state_cross_wording,canonical_impl,87
19,task_019,paraphrase_impl,opposite_cross_wording,canonical_test,87
19,task_019,paraphrase_impl,self,paraphrase_impl,269
20,task_020,canonical_test,opposite_same_wording,canonical_impl,120
20,task_020,canonical_test,same_state_cross_wording,paraphrase_test,86
20,task_020,canonical_test,opposite_cross_wording,paraphrase_impl,86
20,task_020,canonical_test,self,canonical_test,287
20,task_020,canonical_impl,opposite_same_wording,canonical_test,120
20,task_020,canonical_impl,same_state_cross_wording,paraphrase_impl,86
20,task_020,canonical_impl,opposite_cross_wording,paraphrase_test,86
20,task_020,canonical_impl,self,canonical_impl,287
20,task_020,paraphrase_test,opposite_same_wording,paraphrase_impl,113
20,task_020,paraphrase_test,same_state_cross_wording,canonical_test,86
20,task_020,paraphrase_test,opposite_cross_wording,canonical_impl,86
20,task_020,paraphrase_test,self,paraphrase_test,271
20,task_020,paraphrase_impl,opposite_same_wording,paraphrase_test,113
20,task_020,paraphrase_impl,same_state_cross_wording,canonical_impl,86
20,task_020,paraphrase_impl,opposite_cross_wording,canonical_test,86
20,task_020,paraphrase_impl,self,paraphrase_impl,271
21,task_021,canonical_test,opposite_same_wording,canonical_impl,103
21,task_021,canonical_test,same_state_cross_wording,paraphrase_test,69
21,task_021,canonical_test,opposite_cross_wording,paraphrase_impl,69
21,task_021,canonical_test,self,canonical_test,270
21,task_021,canonical_impl,opposite_same_wording,canonical_test,103
21,task_021,canonical_impl,same_state_cross_wording,paraphrase_impl,69
21,task_021,canonical_impl,opposite_cross_wording,paraphrase_test,69
21,task_021,canonical_impl,self,canonical_impl,270
21,task_021,paraphrase_test,opposite_same_wording,paraphrase_impl,96
21,task_021,paraphrase_test,same_state_cross_wording,canonical_test,69
21,task_021,paraphrase_test,opposite_cross_wording,canonical_impl,69
21,task_021,paraphrase_test,self,paraphrase_test,254
21,task_021,paraphrase_impl,opposite_same_wording,paraphrase_test,96
21,task_021,paraphrase_impl,same_state_cross_wording,canonical_impl,69
21,task_021,paraphrase_impl,opposite_cross_wording,canonical_test,69
21,task_021,paraphrase_impl,self,paraphrase_impl,254
22,task_022,canonical_test,opposite_same_wording,canonical_impl,121
22,task_022,canonical_test,same_state_cross_wording,paraphrase_test,87
22,task_022,canonical_test,opposite_cross_wording,paraphrase_impl,87
22,task_022,canonical_test,self,canonical_test,285
22,task_022,canonical_impl,opposite_same_wording,canonical_test,121
22,task_022,canonical_impl,same_state_cross_wording,paraphrase_impl,87
22,task_022,canonical_impl,opposite_cross_wording,paraphrase_test,87
22,task_022,canonical_impl,self,canonical_impl,285
22,task_022,paraphrase_test,opposite_same_wording,paraphrase_impl,114
22,task_022,paraphrase_test,same_state_cross_wording,canonical_test,87
22,task_022,paraphrase_test,opposite_cross_wording,canonical_impl,87
22,task_022,paraphrase_test,self,paraphrase_test,269
22,task_022,paraphrase_impl,opposite_same_wording,paraphrase_test,114
22,task_022,paraphrase_impl,same_state_cross_wording,canonical_impl,87
22,task_022,paraphrase_impl,opposite_cross_wording,canonical_test,87
22,task_022,paraphrase_impl,self,paraphrase_impl,269
23,task_023,canonical_test,opposite_same_wording,canonical_impl,120
23,task_023,canonical_test,same_state_cross_wording,paraphrase_test,86
23,task_023,canonical_test,opposite_cross_wording,paraphrase_impl,86
23,task_023,canonical_test,self,canonical_test,288
23,task_023,canonical_impl,opposite_same_wording,canonical_test,120
23,task_023,canonical_impl,same_state_cross_wording,paraphrase_impl,86
23,task_023,canonical_impl,opposite_cross_wording,paraphrase_test,86
23,task_023,canonical_impl,self,canonical_impl,288
23,task_023,paraphrase_test,opposite_same_wording,paraphrase_impl,113
23,task_023,paraphrase_test,same_state_cross_wording,canonical_test,86
23,task_023,paraphrase_test,opposite_cross_wording,canonical_impl,86
23,task_023,paraphrase_test,self,paraphrase_test,272
23,task_023,paraphrase_impl,opposite_same_wording,paraphrase_test,113
23,task_023,paraphrase_impl,same_state_cross_wording,canonical_impl,86
23,task_023,paraphrase_impl,opposite_cross_wording,canonical_test,86
23,task_023,paraphrase_impl,self,paraphrase_impl,272
24,task_024,canonical_test,opposite_same_wording,canonical_impl,103
24,task_024,canonical_test,same_state_cross_wording,paraphrase_test,69
24,task_024,canonical_test,opposite_cross_wording,paraphrase_impl,69
24,task_024,canonical_test,self,canonical_test,266
24,task_024,canonical_impl,opposite_same_wording,canonical_test,103
24,task_024,canonical_impl,same_state_cross_wording,paraphrase_impl,69
24,task_024,canonical_impl,opposite_cross_wording,paraphrase_test,69
24,task_024,canonical_impl,self,canonical_impl,266
24,task_024,paraphrase_test,opposite_same_wording,paraphrase_impl,96
24,task_024,paraphrase_test,same_state_cross_wording,canonical_test,69
24,task_024,paraphrase_test,opposite_cross_wording,canonical_impl,69
24,task_024,paraphrase_test,self,paraphrase_test,250
24,task_024,paraphrase_impl,opposite_same_wording,paraphrase_test,96
24,task_024,paraphrase_impl,same_state_cross_wording,canonical_impl,69
24,task_024,paraphrase_impl,opposite_cross_wording,canonical_test,69
24,task_024,paraphrase_impl,self,paraphrase_impl,250
25,task_025,canonical_test,opposite_same_wording,canonical_impl,121
25,task_025,canonical_test,same_state_cross_wording,paraphrase_test,87
25,task_025,canonical_test,opposite_cross_wording,paraphrase_impl,87
25,task_025,canonical_test,self,canonical_test,283
25,task_025,canonical_impl,opposite_same_wording,canonical_test,121
25,task_025,canonical_impl,same_state_cross_wording,paraphrase_impl,87
25,task_025,canonical_impl,opposite_cross_wording,paraphrase_test,87
25,task_025,canonical_impl,self,canonical_impl,283
25,task_025,paraphrase_test,opposite_same_wording,paraphrase_impl,114
25,task_025,paraphrase_test,same_state_cross_wording,canonical_test,87
25,task_025,paraphrase_test,opposite_cross_wording,canonical_impl,87
25,task_025,paraphrase_test,self,paraphrase_test,267
25,task_025,paraphrase_impl,opposite_same_wording,paraphrase_test,114
25,task_025,paraphrase_impl,same_state_cross_wording,canonical_impl,87
25,task_025,paraphrase_impl,opposite_cross_wording,canonical_test,87
25,task_025,paraphrase_impl,self,paraphrase_impl,267
26,task_026,canonical_test,opposite_same_wording,canonical_impl,120
26,task_026,canonical_test,same_state_cross_wording,paraphrase_test,86
26,task_026,canonical_test,opposite_cross_wording,paraphrase_impl,86
26,task_026,canonical_test,self,canonical_test,284
26,task_026,canonical_impl,opposite_same_wording,canonical_test,120
26,task_026,canonical_impl,same_state_cross_wording,paraphrase_impl,86
26,task_026,canonical_impl,opposite_cross_wording,paraphrase_test,86
26,task_026,canonical_impl,self,canonical_impl,284
26,task_026,paraphrase_test,opposite_same_wording,paraphrase_impl,113
26,task_026,paraphrase_test,same_state_cross_wording,canonical_test,86
26,task_026,paraphrase_test,opposite_cross_wording,canonical_impl,86
26,task_026,paraphrase_test,self,paraphrase_test,268
26,task_026,paraphrase_impl,opposite_same_wording,paraphrase_test,113
26,task_026,paraphrase_impl,same_state_cross_wording,canonical_impl,86
26,task_026,paraphrase_impl,opposite_cross_wording,canonical_test,86
26,task_026,paraphrase_impl,self,paraphrase_impl,268
27,task_027,canonical_test,opposite_same_wording,canonical_impl,103
27,task_027,canonical_test,same_state_cross_wording,paraphrase_test,69
27,task_027,canonical_test,opposite_cross_wording,paraphrase_impl,69
27,task_027,canonical_test,self,canonical_test,270
27,task_027,canonical_impl,opposite_same_wording,canonical_test,103
27,task_027,canonical_impl,same_state_cross_wording,paraphrase_impl,69
27,task_027,canonical_impl,opposite_cross_wording,paraphrase_test,69
27,task_027,canonical_impl,self,canonical_impl,270
27,task_027,paraphrase_test,opposite_same_wording,paraphrase_impl,96
27,task_027,paraphrase_test,same_state_cross_wording,canonical_test,69
27,task_027,paraphrase_test,opposite_cross_wording,canonical_impl,69
27,task_027,paraphrase_test,self,paraphrase_test,254
27,task_027,paraphrase_impl,opposite_same_wording,paraphrase_test,96
27,task_027,paraphrase_impl,same_state_cross_wording,canonical_impl,69
27,task_027,paraphrase_impl,opposite_cross_wording,canonical_test,69
27,task_027,paraphrase_impl,self,paraphrase_impl,254
28,task_028,canonical_test,opposite_same_wording,canonical_impl,121
28,task_028,canonical_test,same_state_cross_wording,paraphrase_test,87
28,task_028,canonical_test,opposite_cross_wording,paraphrase_impl,87
28,task_028,canonical_test,self,canonical_test,286
28,task_028,canonical_impl,opposite_same_wording,canonical_test,121
